F10.7,SSN,Datetime,Kp,Ap
95.3,58,1984-01-10,4.0,27.0
96.8,63,1984-01-11,3.0,15.0
101.1,67,1984-01-12,1.667,6.0
102.1,63,1984-01-13,3.0,15.0
99.2,60,1984-01-14,2.0,7.0
97.8,58,1984-01-15,1.333,5.0
96.6,60,1984-01-16,2.0,7.0
95.1,67,1984-01-17,0.667,3.0
94.9,64,1984-01-18,3.333,18.0
93.4,67,1984-01-19,3.0,15.0
102.2,91,1984-01-20,1.333,5.0
103.3,100,1984-01-21,2.667,12.0
110.4,84,1984-01-22,1.667,6.0
113.2,92,1984-01-23,1.0,4.0
126.4,92,1984-01-24,0.333,2.0
146.8,130,1984-01-25,3.333,18.0
164.9,138,1984-01-26,2.333,9.0
172.2,130,1984-01-27,2.667,12.0
168.9,139,1984-01-28,3.667,22.0
174.6,144,1984-01-29,3.333,18.0
161.6,134,1984-01-30,3.667,22.0
169.3,108,1984-01-31,4.0,27.0
154.6,142,1984-02-01,1.333,5.0
142.0,106,1984-02-02,5.667,67.0
131.4,86,1984-02-03,4.333,32.0
126.0,79,1984-02-04,5.667,67.0
114.2,85,1984-02-05,1.0,4.0
111.8,98,1984-02-06,3.333,18.0
113.6,102,1984-02-07,2.667,12.0
127.2,121,1984-02-08,2.0,7.0
140.0,148,1984-02-09,2.667,12.0
136.6,159,1984-02-10,5.0,48.0
141.1,152,1984-02-11,2.0,7.0
135.8,139,1984-02-12,4.667,39.0
128.4,106,1984-02-13,3.667,22.0
120.3,99,1984-02-14,5.333,56.0
113.5,103,1984-02-15,2.0,7.0
114.5,68,1984-02-16,2.0,7.0
116.6,66,1984-02-17,2.667,12.0
122.2,65,1984-02-18,1.0,4.0
128.4,70,1984-02-19,1.667,6.0
134.5,70,1984-02-20,4.0,27.0
143.8,98,1984-02-21,2.667,12.0
158.1,129,1984-02-22,2.0,7.0
166.1,156,1984-02-23,2.0,7.0
173.0,151,1984-02-24,3.0,15.0
169.4,151,1984-02-25,3.0,15.0
164.3,130,1984-02-26,4.0,27.0
154.3,101,1984-02-27,4.667,39.0
148.9,101,1984-02-28,0.667,3.0
148.1,114,1984-02-29,1.0,4.0
143.6,103,1984-03-01,6.333,94.0
138.2,109,1984-03-02,4.333,32.0
122.5,92,1984-03-03,3.333,18.0
114.4,75,1984-03-04,0.333,2.0
109.4,91,1984-03-05,0.667,3.0
109.5,68,1984-03-06,5.0,48.0
105.0,71,1984-03-07,3.667,22.0
103.8,89,1984-03-08,5.333,56.0
102.5,84,1984-03-09,3.0,15.0
98.8,64,1984-03-10,4.667,39.0
98.6,91,1984-03-11,3.0,15.0
102.2,101,1984-03-12,3.0,15.0
114.8,110,1984-03-13,1.0,4.0
121.1,123,1984-03-14,0.333,2.0
134.5,157,1984-03-15,4.333,32.0
124.1,164,1984-03-16,2.0,7.0
129.2,147,1984-03-17,3.0,15.0
125.8,133,1984-03-18,2.667,12.0
126.4,126,1984-03-19,0.667,3.0
126.3,144,1984-03-20,0.333,2.0
122.4,137,1984-03-21,2.667,12.0
122.8,122,1984-03-22,3.667,22.0
116.8690022679173,124,1984-03-23,1.0,4.0
113.1,112,1984-03-24,2.667,12.0
111.7,136,1984-03-25,3.333,18.0
120.2,136,1984-03-26,4.333,32.0
129.1,134,1984-03-27,4.333,32.0
135.9,137,1984-03-28,6.667,111.0
138.2,131,1984-03-29,4.333,32.0
143.8,150,1984-03-30,3.333,18.0
143.8,158,1984-03-31,5.333,56.0
135.7,134,1984-04-01,2.667,12.0
134.7,122,1984-04-02,5.667,67.0
128.9,114,1984-04-03,5.333,56.0
129.5,105,1984-04-04,7.0,132.0
118.8,79,1984-04-05,6.0,80.0
112.1,91,1984-04-06,2.333,9.0
107.9,65,1984-04-07,3.333,18.0
100.7,43,1984-04-08,6.0,80.0
95.0,47,1984-04-09,2.667,12.0
94.61764163684006,16,1984-04-10,3.0,15.0
97.3,27,1984-04-11,1.333,5.0
107.3,36,1984-04-12,4.333,32.0
113.7,31,1984-04-13,3.0,15.0
118.9,41,1984-04-14,5.333,56.0
119.7,77,1984-04-15,0.333,2.0
117.3,78,1984-04-16,1.667,6.0
122.9,73,1984-04-17,1.667,6.0
119.8,95,1984-04-18,2.0,7.0
112.5,106,1984-04-19,3.0,15.0
124.1,89,1984-04-20,2.333,9.0
127.7,88,1984-04-21,3.0,15.0
130.8,71,1984-04-22,0.333,2.0
136.7,77,1984-04-23,3.0,15.0
142.9,104,1984-04-24,1.667,6.0
152.5,128,1984-04-25,6.0,80.0
174.1,161,1984-04-26,6.0,80.0
183.7,157,1984-04-27,4.0,27.0
182.7,162,1984-04-28,2.333,9.0
178.2,156,1984-04-29,3.333,18.0
170.9,139,1984-04-30,4.667,39.0
153.7,138,1984-05-01,3.667,22.0
139.3,113,1984-05-02,1.0,4.0
123.0,88,1984-05-03,4.0,27.0
113.5,66,1984-05-04,3.0,15.0
114.9,48,1984-05-05,4.667,39.0
108.1,34,1984-05-06,0.333,2.0
118.3,44,1984-05-07,0.667,3.0
121.9,69,1984-05-08,0.667,3.0
138.4,91,1984-05-09,5.0,48.0
150.9,108,1984-05-10,1.667,6.0
148.0,119,1984-05-11,2.0,7.0
148.3,127,1984-05-12,3.333,18.0
151.5,150,1984-05-13,0.667,3.0
146.8,141,1984-05-14,3.667,22.0
139.7,108,1984-05-15,0.667,3.0
137.3,123,1984-05-16,2.667,12.0
130.2,105,1984-05-17,2.667,12.0
131.8,89,1984-05-18,4.667,39.0
137.6,94,1984-05-19,2.333,9.0
138.1,89,1984-05-20,4.667,39.0
145.3,82,1984-05-21,5.333,56.0
130.1,98,1984-05-22,4.333,32.0
129.9,105,1984-05-23,3.667,22.0
126.9,109,1984-05-24,3.667,22.0
125.7,95,1984-05-25,4.667,39.0
121.0,110,1984-05-26,0.667,3.0
120.3,109,1984-05-27,1.333,5.0
118.6,88,1984-05-28,3.667,22.0
121.0,94,1984-05-29,2.333,9.0
119.7,89,1984-05-30,2.667,12.0
115.9,80,1984-05-31,4.0,27.0
116.0,68,1984-06-01,1.667,6.0
111.3,62,1984-06-02,2.667,12.0
109.6,63,1984-06-03,3.333,18.0
106.9,48,1984-06-04,3.667,22.0
104.6,42,1984-06-05,3.0,15.0
98.9,32,1984-06-06,2.333,9.0
97.4,48,1984-06-07,1.0,4.0
94.6,44,1984-06-08,3.0,15.0
93.6,37,1984-06-09,3.0,15.0
92.3,44,1984-06-10,3.333,18.0
93.2,52,1984-06-11,2.0,7.0
93.0,55,1984-06-12,0.667,3.0
98.5,58,1984-06-13,0.667,3.0
110.2,71,1984-06-14,1.333,5.0
116.5,113,1984-06-15,4.667,39.0
110.3,117,1984-06-16,3.667,22.0
109.5,103,1984-06-17,1.0,4.0
108.8,87,1984-06-18,3.667,22.0
107.8,72,1984-06-19,4.333,32.0
106.6,75,1984-06-20,1.0,4.0
103.4,61,1984-06-21,2.0,7.0
104.7,68,1984-06-22,1.667,6.0
105.3,76,1984-06-23,4.667,39.0
103.6,82,1984-06-24,2.667,12.0
104.7,62,1984-06-25,2.333,9.0
100.0,69,1984-06-26,2.667,12.0
101.5,56,1984-06-27,1.0,4.0
99.4,58,1984-06-28,4.333,32.0
100.3,71,1984-06-29,3.333,18.0
101.1,59,1984-06-30,2.0,7.0
101.7,49,1984-07-01,3.0,15.0
103.6,54,1984-07-02,3.333,18.0
104.8,91,1984-07-03,2.0,7.0
104.98425814138392,119,1984-07-04,3.667,22.0
104.4,107,1984-07-05,2.0,7.0
100.3,91,1984-07-06,3.333,18.0
100.1,95,1984-07-07,2.333,9.0
101.1,110,1984-07-08,2.333,9.0
104.5,94,1984-07-09,1.333,5.0
101.3,110,1984-07-10,2.333,9.0
96.7,85,1984-07-11,4.667,39.0
94.8,80,1984-07-12,2.0,7.0
92.6,65,1984-07-13,4.333,32.0
92.3,51,1984-07-14,3.333,18.0
92.3,45,1984-07-15,4.667,39.0
90.1,37,1984-07-16,4.667,39.0
87.3,31,1984-07-17,4.0,27.0
85.5,39,1984-07-18,3.0,15.0
84.7,33,1984-07-19,2.667,12.0
84.8,27,1984-07-20,4.333,32.0
86.7,18,1984-07-21,3.0,15.0
86.3,33,1984-07-22,1.667,6.0
87.3,37,1984-07-23,2.667,12.0
86.8,57,1984-07-24,2.0,7.0
85.8,45,1984-07-25,2.333,9.0
83.3,37,1984-07-26,1.0,4.0
83.0,13,1984-07-27,2.667,12.0
82.5,13,1984-07-28,1.0,4.0
82.3,18,1984-07-29,2.0,7.0
82.1,24,1984-07-30,1.667,6.0
83.0,18,1984-07-31,5.333,56.0
84.0,19,1984-08-01,5.333,56.0
86.3,23,1984-08-02,2.333,9.0
88.3,26,1984-08-03,3.333,18.0
85.7,34,1984-08-04,2.333,9.0
85.7,25,1984-08-05,0.667,3.0
89.9,33,1984-08-06,1.333,5.0
92.4,37,1984-08-07,1.333,5.0
93.9,44,1984-08-08,3.333,18.0
94.3,48,1984-08-09,5.0,48.0
95.4,43,1984-08-10,1.667,6.0
90.8,40,1984-08-11,3.667,22.0
88.0,43,1984-08-12,3.0,15.0
86.5,38,1984-08-13,1.333,5.0
84.0,37,1984-08-14,4.667,39.0
82.5,32,1984-08-15,2.667,12.0
83.1,32,1984-08-16,2.333,9.0
80.9,25,1984-08-17,3.0,15.0
79.1,23,1984-08-18,1.333,5.0
76.2,15,1984-08-19,3.0,15.0
75.5,22,1984-08-20,0.667,3.0
77.2,16,1984-08-21,0.333,2.0
75.7,14,1984-08-22,0.333,2.0
76.1,26,1984-08-23,3.333,18.0
81.5,33,1984-08-24,2.333,9.0
82.9,49,1984-08-25,3.0,15.0
87.7,67,1984-08-26,1.0,4.0
90.3,56,1984-08-27,6.0,80.0
88.6,51,1984-08-28,4.667,39.0
90.2,47,1984-08-29,3.667,22.0
91.8,37,1984-08-30,2.667,12.0
93.1,49,1984-08-31,2.333,9.0
94.1,65,1984-09-01,3.0,15.0
93.2,72,1984-09-02,1.333,5.0
94.5,88,1984-09-03,2.0,7.0
91.9,84,1984-09-04,2.667,12.0
89.8,76,1984-09-05,3.333,18.0
85.8,46,1984-09-06,2.333,9.0
85.2,30,1984-09-07,0.667,3.0
83.4,29,1984-09-08,4.0,27.0
80.6,19,1984-09-09,4.667,39.0
79.0,14,1984-09-10,4.333,32.0
77.8,13,1984-09-11,2.333,9.0
76.4,13,1984-09-12,3.333,18.0
74.9,13,1984-09-13,2.0,7.0
74.3,0,1984-09-14,2.667,12.0
73.3,12,1984-09-15,3.0,15.0
73.3,17,1984-09-16,1.333,5.0
74.6,0,1984-09-17,0.667,3.0
73.8,0,1984-09-18,0.667,3.0
74.5,14,1984-09-19,4.333,32.0
74.1,0,1984-09-20,2.0,7.0
75.1,13,1984-09-21,3.0,15.0
75.9,14,1984-09-22,4.667,39.0
76.1,12,1984-09-23,7.0,132.0
76.1,12,1984-09-24,4.667,39.0
74.6,10,1984-09-25,4.667,39.0
74.2,0,1984-09-26,3.333,18.0
73.5,0,1984-09-27,4.0,27.0
73.1,0,1984-09-28,3.333,18.0
71.7,0,1984-09-29,3.667,22.0
72.4,12,1984-09-30,2.333,9.0
72.0,7,1984-10-01,1.0,4.0
74.8,8,1984-10-02,3.333,18.0
75.1,12,1984-10-03,2.333,9.0
75.2,12,1984-10-04,2.0,7.0
74.0,0,1984-10-05,1.333,5.0
73.2,0,1984-10-06,5.667,67.0
73.5,0,1984-10-07,4.0,27.0
74.5,13,1984-10-08,4.0,27.0
73.5,15,1984-10-09,4.0,27.0
74.0,18,1984-10-10,2.333,9.0
74.3,23,1984-10-11,5.0,48.0
73.9,17,1984-10-12,3.667,22.0
74.7,10,1984-10-13,1.667,6.0
73.2,9,1984-10-14,3.667,22.0
76.4,15,1984-10-15,3.667,22.0
75.67901318397762,20,1984-10-16,3.333,18.0
76.1,25,1984-10-17,0.667,3.0
76.5,26,1984-10-18,5.667,67.0
74.2,26,1984-10-19,5.333,56.0
73.5,18,1984-10-20,4.333,32.0
73.2,20,1984-10-21,5.667,67.0
74.5,13,1984-10-22,4.667,39.0
72.6,12,1984-10-23,4.0,27.0
70.8,9,1984-10-24,3.667,22.0
70.3,10,1984-10-25,5.667,67.0
69.3,10,1984-10-26,2.333,9.0
68.6,8,1984-10-27,1.0,4.0
69.3,0,1984-10-28,2.667,12.0
68.2,8,1984-10-29,2.0,7.0
68.8,12,1984-10-30,1.0,4.0
69.8,15,1984-10-31,3.667,22.0
69.5,19,1984-11-01,2.667,12.0
70.1,16,1984-11-02,3.0,15.0
72.0,13,1984-11-03,3.333,18.0
72.1,16,1984-11-04,3.333,18.0
71.6,14,1984-11-05,1.333,5.0
71.0,0,1984-11-06,2.0,7.0
70.1,13,1984-11-07,4.667,39.0
70.5,15,1984-11-08,2.0,7.0
72.7,15,1984-11-09,3.0,15.0
72.10187842187257,24,1984-11-10,5.0,48.0
73.1,31,1984-11-11,5.0,48.0
72.9,24,1984-11-12,0.667,3.0
71.5,19,1984-11-13,3.333,18.0
71.9,17,1984-11-14,2.667,12.0
72.9,15,1984-11-15,7.333,154.0
70.7,13,1984-11-16,5.0,48.0
71.0,13,1984-11-17,3.667,22.0
71.7,16,1984-11-18,3.0,15.0
72.3,15,1984-11-19,3.667,22.0
74.8,31,1984-11-20,2.333,9.0
78.2,42,1984-11-21,3.333,18.0
78.2,42,1984-11-22,2.667,12.0
79.2,48,1984-11-23,0.333,2.0
81.2,55,1984-11-24,2.667,12.0
83.1,69,1984-11-25,3.333,18.0
82.5,51,1984-11-26,1.0,4.0
82.5,45,1984-11-27,1.667,6.0
81.0,45,1984-11-28,0.667,3.0
77.0,35,1984-11-29,1.667,6.0
76.4,23,1984-11-30,4.333,32.0
77.0,22,1984-12-01,3.333,18.0
76.8,25,1984-12-02,3.667,22.0
77.9,22,1984-12-03,3.0,15.0
75.9,22,1984-12-04,4.667,39.0
73.4,18,1984-12-05,3.0,15.0
73.0,24,1984-12-06,4.0,27.0
72.8,21,1984-12-07,2.0,7.0
74.1,26,1984-12-08,2.333,9.0
74.5,24,1984-12-09,2.0,7.0
75.6,17,1984-12-10,1.667,6.0
76.62338124045773,32,1984-12-11,5.333,56.0
77.8,33,1984-12-12,1.667,6.0
76.1,32,1984-12-13,2.0,7.0
75.7,32,1984-12-14,3.0,15.0
74.9,30,1984-12-15,5.667,67.0
74.3,34,1984-12-16,5.333,56.0
72.6,28,1984-12-17,4.0,27.0
70.2,14,1984-12-18,3.0,15.0
70.9,13,1984-12-19,1.333,5.0
69.9,13,1984-12-20,1.0,4.0
69.7,16,1984-12-21,4.333,32.0
70.6,14,1984-12-22,3.0,15.0
71.3,13,1984-12-23,3.667,22.0
71.8,18,1984-12-24,1.0,4.0
72.2,24,1984-12-25,1.333,5.0
72.3,23,1984-12-26,4.333,32.0
72.0,16,1984-12-27,4.667,39.0
72.2,18,1984-12-28,4.667,39.0
72.1,17,1984-12-29,4.0,27.0
71.4,11,1984-12-30,4.333,32.0
70.0,11,1984-12-31,3.667,22.0
68.3,0,1985-01-01,5.667,67.0
67.8,0,1985-01-02,4.667,39.0
67.7,0,1985-01-03,3.667,22.0
67.8,0,1985-01-04,2.667,12.0
67.0,0,1985-01-05,2.667,12.0
67.9,0,1985-01-06,1.667,6.0
68.1,0,1985-01-07,1.667,6.0
67.4,12,1985-01-08,4.667,39.0
68.1,15,1985-01-09,3.333,18.0
67.4,0,1985-01-10,3.0,15.0
67.7,0,1985-01-11,3.333,18.0
68.4,14,1985-01-12,3.667,22.0
72.6,17,1985-01-13,1.667,6.0
72.4,28,1985-01-14,1.333,5.0
72.5,27,1985-01-15,2.0,7.0
74.7,28,1985-01-16,0.667,3.0
75.8,31,1985-01-17,2.0,7.0
74.1,28,1985-01-18,1.333,5.0
75.4,29,1985-01-19,0.333,2.0
80.32409274954848,59,1985-01-20,1.333,5.0
84.9,64,1985-01-21,1.333,5.0
85.3,54,1985-01-22,4.667,39.0
82.5,42,1985-01-23,3.667,22.0
78.2,36,1985-01-24,2.0,7.0
74.0,22,1985-01-25,1.0,4.0
71.1,10,1985-01-26,2.333,9.0
69.5,9,1985-01-27,4.333,32.0
69.6,0,1985-01-28,5.667,67.0
68.7,10,1985-01-29,5.667,67.0
68.3,0,1985-01-30,3.333,18.0
69.9,18,1985-01-31,3.0,15.0
72.2,23,1985-02-01,1.667,6.0
73.8,29,1985-02-02,2.333,9.0
73.6,33,1985-02-03,0.333,2.0
70.9,29,1985-02-04,1.0,4.0
71.3,26,1985-02-05,3.667,22.0
70.6,21,1985-02-06,3.667,22.0
70.3,9,1985-02-07,3.667,22.0
72.5,21,1985-02-08,4.667,39.0
73.2,31,1985-02-09,3.0,15.0
71.03229797096334,25,1985-02-10,2.333,9.0
70.91574878114925,17,1985-02-11,3.333,18.0
72.3,13,1985-02-12,0.667,3.0
70.8,14,1985-02-13,3.333,18.0
70.6,17,1985-02-14,4.0,27.0
70.3,14,1985-02-15,2.333,9.0
69.8,13,1985-02-16,2.0,7.0
70.9,16,1985-02-17,1.0,4.0
73.4,13,1985-02-18,0.667,3.0
71.85441706233118,25,1985-02-19,3.333,18.0
71.79732778093027,35,1985-02-20,1.0,4.0
71.66519216148443,35,1985-02-21,2.667,12.0
73.3,33,1985-02-22,2.0,7.0
71.7,21,1985-02-23,2.333,9.0
70.5,14,1985-02-24,4.0,27.0
70.1,14,1985-02-25,1.667,6.0
69.7,14,1985-02-26,1.667,6.0
68.9,13,1985-02-27,6.667,111.0
69.8,12,1985-02-28,2.0,7.0
69.3,13,1985-03-01,2.667,12.0
69.1,13,1985-03-02,4.0,27.0
69.0,9,1985-03-03,3.0,15.0
68.6,0,1985-03-04,3.333,18.0
68.22317820496497,0,1985-03-05,6.333,94.0
68.0,0,1985-03-06,3.333,18.0
68.0,0,1985-03-07,3.667,22.0
68.7,14,1985-03-08,3.0,15.0
68.7,15,1985-03-09,2.667,12.0
68.0,13,1985-03-10,3.667,22.0
69.6,16,1985-03-11,0.333,2.0
69.2,18,1985-03-12,3.333,18.0
69.5,14,1985-03-13,0.667,3.0
69.5,10,1985-03-14,1.333,5.0
69.7,0,1985-03-15,1.667,6.0
70.1,11,1985-03-16,3.0,15.0
72.1,20,1985-03-17,3.0,15.0
74.6,34,1985-03-18,3.0,15.0
74.2,26,1985-03-19,2.0,7.0
74.2,19,1985-03-20,0.333,2.0
76.0,9,1985-03-21,1.667,6.0
75.9,15,1985-03-22,1.333,5.0
77.3,22,1985-03-23,1.333,5.0
79.7,35,1985-03-24,3.0,15.0
78.5,29,1985-03-25,1.667,6.0
79.6,32,1985-03-26,1.333,5.0
77.4,26,1985-03-27,2.667,12.0
77.6,35,1985-03-28,2.333,9.0
76.7,24,1985-03-29,2.333,9.0
75.8,28,1985-03-30,1.0,4.0
76.5,23,1985-03-31,0.667,3.0
72.2,31,1985-04-01,2.667,12.0
72.7,26,1985-04-02,2.667,12.0
72.5,29,1985-04-03,3.0,15.0
71.9,21,1985-04-04,3.0,15.0
71.2,29,1985-04-05,0.667,3.0
70.5,24,1985-04-06,2.0,7.0
70.4,14,1985-04-07,0.333,2.0
69.9,11,1985-04-08,5.333,56.0
69.4,11,1985-04-09,0.667,3.0
69.7,0,1985-04-10,2.667,12.0
69.0,0,1985-04-11,1.0,4.0
69.7,0,1985-04-12,0.333,2.0
69.8,0,1985-04-13,2.667,12.0
70.7,13,1985-04-14,1.333,5.0
70.0,0,1985-04-15,1.667,6.0
69.4,0,1985-04-16,2.333,9.0
70.2,0,1985-04-17,2.333,9.0
71.7,13,1985-04-18,1.0,4.0
71.8,11,1985-04-19,5.0,48.0
72.3,14,1985-04-20,6.667,111.0
77.9,21,1985-04-21,3.667,22.0
89.8,39,1985-04-22,2.333,9.0
93.4,35,1985-04-23,2.0,7.0
89.0,38,1985-04-24,1.333,5.0
95.3,46,1985-04-25,3.333,18.0
88.3,46,1985-04-26,4.667,39.0
80.6,39,1985-04-27,5.667,67.0
78.1,34,1985-04-28,2.0,7.0
83.2,33,1985-04-29,1.0,4.0
80.8,33,1985-04-30,3.333,18.0
80.5,22,1985-05-01,2.333,9.0
76.5,18,1985-05-02,1.667,6.0
72.6,17,1985-05-03,2.0,7.0
70.8,21,1985-05-04,1.0,4.0
71.3,19,1985-05-05,2.667,12.0
75.0,17,1985-05-06,2.333,9.0
79.0,38,1985-05-07,3.0,15.0
83.7,52,1985-05-08,2.667,12.0
89.6,66,1985-05-09,0.0,0.0
91.7,58,1985-05-10,3.333,18.0
89.9,58,1985-05-11,0.667,3.0
92.1,39,1985-05-12,3.0,15.0
91.9,38,1985-05-13,3.667,22.0
90.6,38,1985-05-14,1.333,5.0
92.0,38,1985-05-15,3.667,22.0
92.14491875124362,37,1985-05-16,3.667,22.0
92.3,45,1985-05-17,3.0,15.0
92.6,48,1985-05-18,3.0,15.0
89.6,47,1985-05-19,2.333,9.0
86.8,44,1985-05-20,1.333,5.0
84.3,42,1985-05-21,2.667,12.0
82.7,40,1985-05-22,1.333,5.0
80.0,38,1985-05-23,1.0,4.0
78.3,30,1985-05-24,2.333,9.0
77.2,22,1985-05-25,4.333,32.0
75.5,15,1985-05-26,1.667,6.0
74.6,14,1985-05-27,1.0,4.0
72.7,14,1985-05-28,1.667,6.0
72.4,12,1985-05-29,1.0,4.0
71.4,9,1985-05-30,1.667,6.0
69.6,9,1985-05-31,2.667,12.0
69.4,12,1985-06-01,2.667,12.0
72.4,0,1985-06-02,1.667,6.0
74.6,13,1985-06-03,1.333,5.0
77.5,30,1985-06-04,1.333,5.0
84.2,41,1985-06-05,1.667,6.0
87.4,43,1985-06-06,5.333,56.0
88.4,44,1985-06-07,2.667,12.0
88.9,49,1985-06-08,2.0,7.0
89.8,49,1985-06-09,6.333,94.0
91.7,68,1985-06-10,3.0,15.0
91.3,77,1985-06-11,2.667,12.0
89.8,63,1985-06-12,2.0,7.0
89.1,53,1985-06-13,2.333,9.0
85.3,42,1985-06-14,1.667,6.0
83.8,43,1985-06-15,1.0,4.0
80.9,32,1985-06-16,1.0,4.0
77.3,27,1985-06-17,1.667,6.0
73.7,21,1985-06-18,0.667,3.0
72.2,12,1985-06-19,0.667,3.0
71.9,11,1985-06-20,3.0,15.0
71.5,11,1985-06-21,1.667,6.0
71.6,11,1985-06-22,0.667,3.0
71.8,14,1985-06-23,1.0,4.0
70.8,15,1985-06-24,2.333,9.0
71.0,14,1985-06-25,3.0,15.0
70.0,12,1985-06-26,3.667,22.0
70.2,9,1985-06-27,3.333,18.0
71.0,9,1985-06-28,3.667,22.0
72.2,11,1985-06-29,2.0,7.0
74.7,13,1985-06-30,4.0,27.0
76.9,27,1985-07-01,2.333,9.0
79.1,35,1985-07-02,1.333,5.0
81.2,39,1985-07-03,3.333,18.0
80.4,42,1985-07-04,4.667,39.0
83.3,49,1985-07-05,4.0,27.0
87.4,56,1985-07-06,5.0,48.0
97.7,92,1985-07-07,3.333,18.0
96.6,87,1985-07-08,4.0,27.0
100.9,107,1985-07-09,1.0,4.0
104.6,107,1985-07-10,3.0,15.0
97.3,79,1985-07-11,2.333,9.0
92.9,59,1985-07-12,3.0,15.0
85.6,33,1985-07-13,4.0,27.0
76.5,12,1985-07-14,1.333,5.0
73.0,10,1985-07-15,1.0,4.0
71.9,12,1985-07-16,1.667,6.0
71.9,14,1985-07-17,2.0,7.0
71.8,14,1985-07-18,3.667,22.0
71.7,14,1985-07-19,0.333,2.0
71.7,14,1985-07-20,1.0,4.0
71.2,13,1985-07-21,1.0,4.0
71.0,13,1985-07-22,1.667,6.0
71.1,23,1985-07-23,3.0,15.0
71.0,16,1985-07-24,3.0,15.0
75.6,13,1985-07-25,2.333,9.0
77.4,17,1985-07-26,4.333,32.0
79.2,16,1985-07-27,3.0,15.0
81.2,47,1985-07-28,2.333,9.0
83.5,66,1985-07-29,1.333,5.0
83.8,60,1985-07-30,2.0,7.0
82.4,52,1985-07-31,5.333,56.0
80.5,32,1985-08-01,3.333,18.0
80.4,23,1985-08-02,2.667,12.0
79.2,25,1985-08-03,2.0,7.0
79.3,25,1985-08-04,1.667,6.0
78.5,18,1985-08-05,1.0,4.0
77.9,13,1985-08-06,0.667,3.0
79.5,11,1985-08-07,2.333,9.0
78.5,11,1985-08-08,2.333,9.0
74.9,15,1985-08-09,2.333,9.0
72.8,11,1985-08-10,1.333,5.0
68.4,11,1985-08-11,0.333,2.0
69.7,11,1985-08-12,6.0,80.0
69.0,0,1985-08-13,4.333,32.0
69.2,0,1985-08-14,2.333,9.0
69.0,0,1985-08-15,2.333,9.0
68.2,13,1985-08-16,2.667,12.0
67.8,11,1985-08-17,2.333,9.0
68.5,10,1985-08-18,4.333,32.0
69.1,11,1985-08-19,3.0,15.0
70.5,9,1985-08-20,2.667,12.0
70.4,8,1985-08-21,3.0,15.0
72.7,0,1985-08-22,3.333,18.0
72.9,0,1985-08-23,3.333,18.0
72.0,0,1985-08-24,1.333,5.0
72.4,0,1985-08-25,2.667,12.0
72.3,7,1985-08-26,4.0,27.0
73.1,7,1985-08-27,2.0,7.0
73.1,9,1985-08-28,3.333,18.0
73.1,8,1985-08-29,2.333,9.0
73.9,7,1985-08-30,2.333,9.0
74.0,8,1985-08-31,3.333,18.0
73.0,8,1985-09-01,2.667,12.0
72.8,0,1985-09-02,1.0,4.0
73.1,0,1985-09-03,1.333,5.0
73.5,0,1985-09-04,0.333,2.0
72.2,0,1985-09-05,1.667,6.0
72.5,0,1985-09-06,3.333,18.0
70.9,0,1985-09-07,2.333,9.0
70.3,0,1985-09-08,2.333,9.0
70.6,0,1985-09-09,2.667,12.0
70.2,0,1985-09-10,3.333,18.0
69.2,8,1985-09-11,1.333,5.0
70.5762809354564,0,1985-09-12,1.333,5.0
70.6,10,1985-09-13,2.0,7.0
70.3,10,1985-09-14,2.667,12.0
71.1,10,1985-09-15,3.667,22.0
70.2,10,1985-09-16,4.0,27.0
70.0,9,1985-09-17,2.333,9.0
70.4,11,1985-09-18,0.667,3.0
70.7,11,1985-09-19,3.667,22.0
69.8,10,1985-09-20,4.333,32.0
69.5,9,1985-09-21,2.667,12.0
69.8,8,1985-09-22,1.667,6.0
69.1,0,1985-09-23,0.333,2.0
69.0,0,1985-09-24,4.0,27.0
68.8,0,1985-09-25,3.667,22.0
68.4,0,1985-09-26,4.0,27.0
67.7,0,1985-09-27,4.667,39.0
67.7,0,1985-09-28,1.333,5.0
68.3,8,1985-09-29,1.333,5.0
68.3,8,1985-09-30,2.333,9.0
68.3,0,1985-10-01,0.667,3.0
67.5,0,1985-10-02,1.667,6.0
68.7,0,1985-10-03,1.667,6.0
68.3,0,1985-10-04,3.333,18.0
67.0,0,1985-10-05,6.333,94.0
66.0,0,1985-10-06,4.333,32.0
65.9,0,1985-10-07,3.667,22.0
65.8,0,1985-10-08,2.333,9.0
66.0,0,1985-10-09,1.0,4.0
66.7,0,1985-10-10,1.667,6.0
67.7,0,1985-10-11,3.667,22.0
66.9,0,1985-10-12,2.333,9.0
66.7,13,1985-10-13,3.0,15.0
69.8,15,1985-10-14,1.0,4.0
71.7,18,1985-10-15,3.0,15.0
73.2,29,1985-10-16,2.333,9.0
75.5,22,1985-10-17,3.0,15.0
75.5,24,1985-10-18,4.333,32.0
77.6,37,1985-10-19,0.667,3.0
79.4,52,1985-10-20,0.333,2.0
84.7,59,1985-10-21,3.333,18.0
89.67588905609735,85,1985-10-22,3.333,18.0
93.1,79,1985-10-23,3.667,22.0
92.5,74,1985-10-24,1.333,5.0
88.6,65,1985-10-25,2.0,7.0
83.0,47,1985-10-26,1.0,4.0
78.5,32,1985-10-27,2.333,9.0
76.7,17,1985-10-28,0.333,2.0
73.6,13,1985-10-29,0.667,3.0
70.5,0,1985-10-30,0.667,3.0
69.6,0,1985-10-31,1.0,4.0
69.0,0,1985-11-01,2.333,9.0
